MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     2091642 896419 0.0126    0.0030      0.502   3.92  0.004  +0.6        +0.7           +0.1            0.050    0.015 0.0000
Hawkes_Intensity 30m     2091642 896419 0.0128    0.0052      0.504   7.18  0.006  +1.0        +1.3           +0.3            0.045    0.014 0.0000
Hawkes_Intensity 1h      2091642 896419 0.0120    0.0070      0.508   15.67 0.009  +1.3        +1.8           +0.5            0.040    0.012 0.0000

Hawkes_OFI 15m 2091642 896419 -0.0135 -0.0421 0.482 -33.93 -0.013 -1.0 -0.3 +0.8 0.037 0.011 0.0005
Hawkes_OFI 30m 2091642 896419 -0.0105 -0.0355 0.486 -25.75 -0.010 -1.1 -0.1 +1.0 0.033 0.010 0.0002
Hawkes_OFI 1h  2091642 896419 -0.0142 -0.0352 0.486 -26.90 -0.011 -2.2 -0.4 +1.8 0.029 0.009 0.0004

Sig_LevyArea 15m 2091642 896419 0.0169 0.0066 0.502 3.95  0.004 +0.4 +0.6 +0.2 0.110 0.033 0.0000
Sig_LevyArea 30m 2091642 896419 0.0193 0.0080 0.504 7.17  0.006 +0.5 +0.9 +0.5 0.102 0.031 0.0000
Sig_LevyArea 1h  2091642 896419 0.0209 0.0102 0.508 15.64 0.009 +0.4 +1.5 +1.0 0.091 0.027 0.0000

Hilbert_Phase 15m 2091642 896419 -0.0096 -0.0299 0.483 -31.75 -0.009 -0.5 -0.1 +0.4 0.002 0.001 0.0003
Hilbert_Phase 30m 2091642 896419 -0.0047 -0.0249 0.486 -26.74 -0.005 -0.4 +0.2 +0.6 0.001 0.000 0.0000
Hilbert_Phase 1h  2091642 896419 -0.0081 -0.0251 0.485 -27.67 -0.008 -0.8 +0.2 +1.0 0.001 0.000 0.0003



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count  PearsonIC SpearmanIC  HitRate Sharpe
Hawkes_OFI 15m 3 112052 -0.0003 -0.0282 0.489 -0.006
Hawkes_OFI 15m 4 112052 -0.0137 -0.0449 0.482 -0.017
Hawkes_OFI 15m 5 112052 -0.0156 -0.0390 0.482 -0.015
Hawkes_OFI 15m 6 112052 -0.0096 -0.0447 0.483 -0.021
Hawkes_OFI 15m 7 112055 -0.0191 -0.0341 0.486 -0.009
Hawkes_OFI 30m 0 112052 -0.0044 -0.0317 0.487 -0.001
Hawkes_OFI 30m 1 112052 -0.0210 -0.0451 0.479 -0.015
Hawkes_OFI 30m 2 112052 -0.0164 -0.0292 0.492 -0.005
Hawkes_OFI 30m 3 112052 0.0095  -0.0362 0.489 -0.005
Hawkes_OFI 30m 4 112052 -0.0299 -0.0304 0.486 -0.014
Hawkes_OFI 30m 5 112052 -0.0118 -0.0390 0.484 -0.018
Hawkes_OFI 30m 6 112052 -0.0070 -0.0485 0.485 -0.027
Hawkes_OFI 30m 7 112055 -0.0095 -0.0318 0.489 -0.008
Hawkes_OFI 1h  0 112052 -0.0126 -0.0458 0.480 -0.014
Hawkes_OFI 1h  1 112052 -0.0276 -0.0436 0.480 -0.015
Hawkes_OFI 1h  2 112052 -0.0236 -0.0342 0.492 -0.008
Hawkes_OFI 1h  3 112052 0.0036  -0.0330 0.484 -0.005
Hawkes_OFI 1h  4 112052 -0.0216 -0.0287 0.491 -0.007
Hawkes_OFI 1h  5 112052 -0.0165 -0.0392 0.483 -0.027
Hawkes_OFI 1h  6 112052 0.0030  -0.0263 0.489 -0.012
Hawkes_OFI 1h  7 112055 -0.0175 -0.0290 0.488 -0.008

Sig_LevyArea 15m 0 112052 -0.0033 0.0115  0.507 0.008
Sig_LevyArea 15m 1 112052 0.0159  -0.0024 0.501 -0.006
Sig_LevyArea 15m 2 112052 0.0231  0.0233  0.505 0.011
Sig_LevyArea 15m 3 112052 0.0426  0.0135  0.506 0.019
Sig_LevyArea 15m 4 112052 -0.0043 -0.0139 0.495 -0.012
Sig_LevyArea 15m 5 112052 0.0166  0.0163  0.504 0.019
Sig_LevyArea 15m 6 112052 0.0125  -0.0018 0.500 0.010
Sig_LevyArea 15m 7 112055 0.0498  0.0011  0.497 -0.010
Sig_LevyArea 30m 0 112052 -0.0136 0.0057  0.509 0.013
Sig_LevyArea 30m 1 112052 0.0200  -0.0060 0.503 -0.008
Sig_LevyArea 30m 2 112052 0.0250  0.0245  0.502 0.016
Sig_LevyArea 30m 3 112052 0.0562  0.0150  0.509 0.026
Sig_LevyArea 30m 4 112052 -0.0034 -0.0126 0.496 -0.017
Sig_LevyArea 30m 5 112052 0.0229  0.0251  0.509 0.027
Sig_LevyArea 30m 6 112052 0.0136  0.0031  0.507 0.013
Sig_LevyArea 30m 7 112055 0.0573  0.0053  0.495 -0.014
Sig_LevyArea 1h  0 112052 -0.0081 0.0046  0.514 0.019
Sig_LevyArea 1h  1 112052 0.0155  -0.0240 0.503 -0.014
Sig_LevyArea 1h  2 112052 0.0141  0.0294  0.509 0.021
Sig_LevyArea 1h  3 112052 0.0570  0.0165  0.519 0.036
Sig_LevyArea 1h  4 112052 0.0168  -0.0002 0.500 -0.020
Sig_LevyArea 1h  5 112052 0.0221  0.0355  0.515 0.039
Sig_LevyArea 1h  6 112052 0.0079  -0.0010 0.506 0.018
Sig_LevyArea 1h  7 112055 0.0431  0.0122  0.500 -0.020

Hilbert_Phase 15m 0 112052 -0.0065 -0.0344 0.477 -0.005
Hilbert_Phase 15m 1 112052 -0.0100 -0.0349 0.477 -0.012
Hilbert_Phase 15m 2 112052 -0.0103 -0.0346 0.481 -0.010
Hilbert_Phase 15m 3 112052 -0.0072 -0.0264 0.487 -0.006
Hilbert_Phase 15m 4 112052 -0.0086 -0.0233 0.487 -0.007
Hilbert_Phase 15m 5 112052 -0.0178 -0.0344 0.483 -0.019
Hilbert_Phase 15m 6 112052 -0.0136 -0.0242 0.489 -0.013
Hilbert_Phase 15m 7 112055 -0.0090 -0.0252 0.484 -0.008
Hilbert_Phase 30m 0 112052 0.0061  -0.0172 0.489 0.007
Hilbert_Phase 30m 1 112052 -0.0021 -0.0276 0.481 -0.003
Hilbert_Phase 30m 2 112052 -0.0038 -0.0242 0.488 -0.004
Hilbert_Phase 30m 3 112052 -0.0002 -0.0243 0.488 -0.001
Hilbert_Phase 30m 4 112052 -0.0059 -0.0215 0.487 -0.003
Hilbert_Phase 30m 5 112052 -0.0170 -0.0328 0.483 -0.018
Hilbert_Phase 30m 6 112052 -0.0174 -0.0257 0.489 -0.017
Hilbert_Phase 30m 7 112055 -0.0094 -0.0274 0.483 -0.011
Hilbert_Phase 1h  0 112052 -0.0010 -0.0259 0.483 -0.002
Hilbert_Phase 1h  1 112052 -0.0074 -0.0318 0.479 -0.008
Hilbert_Phase 1h  2 112052 -0.0128 -0.0294 0.485 -0.015
Hilbert_Phase 1h  3 112052 -0.0092 -0.0269 0.484 -0.010
Hilbert_Phase 1h  4 112052 -0.0034 -0.0159 0.492 -0.000
Hilbert_Phase 1h  5 112052 -0.0217 -0.0281 0.486 -0.023
Hilbert_Phase 1h  6 112052 -0.0117 -0.0208 0.489 -0.010
Hilbert_Phase 1h  7 112055 -0.0070 -0.0211 0.485 -0.006



# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  298807 0.0005    0.0006      0.498   -0.003
Hawkes_Intensity 15m     VolMed  298806 0.0004    -0.0000     0.501   0.003
Hawkes_Intensity 15m     VolHigh 298806 0.0155    0.0067      0.507   0.007
Hawkes_Intensity 30m     VolLow  298807 0.0017    0.0037      0.499   -0.002
Hawkes_Intensity 30m     VolMed  298806 0.0008    0.0008      0.503   0.007
Hawkes_Intensity 30m     VolHigh 298806 0.0156    0.0094      0.510   0.009
Hawkes_Intensity 1h      VolLow  298807 0.0019    -0.0004     0.502   0.005
Hawkes_Intensity 1h      VolMed  298806 0.0018    0.0029      0.510   0.021
Hawkes_Intensity 1h      VolHigh 298806 0.0148    0.0109      0.513   0.010

Hawkes_OFI 15m VolLow  298807 -0.0201 -0.0270 0.490 -0.023
Hawkes_OFI 15m VolMed  298806 -0.0453 -0.0542 0.477 -0.047
Hawkes_OFI 15m VolHigh 298806 -0.0095 -0.0235 0.479 -0.009
Hawkes_OFI 30m VolLow  298807 -0.0115 -0.0109 0.498 -0.005
Hawkes_OFI 30m VolMed  298806 -0.0396 -0.0464 0.480 -0.041
Hawkes_OFI 30m VolHigh 298806 -0.0069 -0.0189 0.481 -0.007
Hawkes_OFI 1h  VolLow  298807 -0.0120 -0.0129 0.495 -0.011
Hawkes_OFI 1h  VolMed  298806 -0.0431 -0.0484 0.480 -0.042
Hawkes_OFI 1h  VolHigh 298806 -0.0114 -0.0193 0.483 -0.008

Sig_LevyArea 15m VolLow  298807 0.0033  0.0050  0.498 -0.003
Sig_LevyArea 15m VolMed  298806 0.0052  0.0066  0.501 0.003
Sig_LevyArea 15m VolHigh 298806 0.0200  0.0054  0.507 0.007
Sig_LevyArea 30m VolLow  298807 0.0053  0.0105  0.499 -0.002
Sig_LevyArea 30m VolMed  298806 0.0045  0.0074  0.503 0.007
Sig_LevyArea 30m VolHigh 298806 0.0228  0.0048  0.510 0.009
Sig_LevyArea 1h  VolLow  298807 -0.0002 -0.0020 0.502 0.005
Sig_LevyArea 1h  VolMed  298806 0.0059  0.0113  0.510 0.021
Sig_LevyArea 1h  VolHigh 298806 0.0259  0.0053  0.513 0.009

Hilbert_Phase 15m VolLow  298807 -0.0127 -0.0117 0.495 -0.013
Hilbert_Phase 15m VolMed  298806 -0.0453 -0.0408 0.476 -0.049
Hilbert_Phase 15m VolHigh 298806 -0.0039 -0.0155 0.479 -0.002
Hilbert_Phase 30m VolLow  298807 -0.0101 -0.0098 0.495 -0.011
Hilbert_Phase 30m VolMed  298806 -0.0359 -0.0337 0.481 -0.040
Hilbert_Phase 30m VolHigh 298806 0.0021  -0.0100 0.482 0.003
Hilbert_Phase 1h  VolLow  298807 -0.0094 -0.0088 0.494 -0.011
Hilbert_Phase 1h  VolMed  298806 -0.0421 -0.0390 0.478 -0.045
Hilbert_Phase 1h  VolHigh 298806 -0.0025 -0.0108 0.484 -0.002



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 311331 0.0067    0.0018      0.498   0.003
Hawkes_Intensity 15m     TOD_Mid   312000 0.0134    0.0017      0.500   0.003
Hawkes_Intensity 15m     TOD_Late  273088 0.0158    0.0062      0.509   0.007
Hawkes_Intensity 30m     TOD_Early 311331 0.0087    0.0020      0.500   0.006
Hawkes_Intensity 30m     TOD_Mid   312000 0.0150    0.0041      0.501   0.003
Hawkes_Intensity 30m     TOD_Late  273088 0.0134    0.0101      0.511   0.010
Hawkes_Intensity 1h      TOD_Early 311331 0.0056    0.0014      0.507   0.011
Hawkes_Intensity 1h      TOD_Mid   312000 0.0151    0.0054      0.503   0.002
Hawkes_Intensity 1h      TOD_Late  273088 0.0135    0.0159      0.515   0.014

Hawkes_OFI 15m TOD_Early 311331 0.0087  -0.0378 0.486 -0.007
Hawkes_OFI 15m TOD_Mid   312000 -0.0227 -0.0415 0.481 -0.018
Hawkes_OFI 15m TOD_Late  273088 -0.0209 -0.0470 0.479 -0.014
Hawkes_OFI 30m TOD_Early 311331 0.0176  -0.0341 0.487 -0.005
Hawkes_OFI 30m TOD_Mid   312000 -0.0162 -0.0283 0.488 -0.013
Hawkes_OFI 30m TOD_Late  273088 -0.0268 -0.0455 0.484 -0.012
Hawkes_OFI 1h  TOD_Early 311331 0.0140  -0.0269 0.491 -0.004
Hawkes_OFI 1h  TOD_Mid   312000 -0.0212 -0.0339 0.484 -0.016
Hawkes_OFI 1h  TOD_Late  273088 -0.0295 -0.0450 0.482 -0.013

Sig_LevyArea 15m TOD_Early 311331 0.0124 -0.0026 0.498 0.003
Sig_LevyArea 15m TOD_Mid   312000 0.0134 0.0041  0.500 0.003
Sig_LevyArea 15m TOD_Late  273088 0.0236 0.0175  0.509 0.007
Sig_LevyArea 30m TOD_Early 311331 0.0126 -0.0038 0.500 0.006
Sig_LevyArea 30m TOD_Mid   312000 0.0142 0.0042  0.501 0.003
Sig_LevyArea 30m TOD_Late  273088 0.0292 0.0230  0.511 0.010
Sig_LevyArea 1h  TOD_Early 311331 0.0061 -0.0061 0.507 0.011
Sig_LevyArea 1h  TOD_Mid   312000 0.0238 0.0051  0.503 0.002
Sig_LevyArea 1h  TOD_Late  273088 0.0290 0.0330  0.515 0.014

Hilbert_Phase 15m TOD_Early 311331 -0.0071 -0.0298 0.485 -0.005
Hilbert_Phase 15m TOD_Mid   312000 -0.0145 -0.0368 0.479 -0.015
Hilbert_Phase 15m TOD_Late  273088 -0.0066 -0.0225 0.486 -0.006
Hilbert_Phase 30m TOD_Early 311331 -0.0010 -0.0235 0.488 0.001
Hilbert_Phase 30m TOD_Mid   312000 -0.0097 -0.0277 0.483 -0.011
Hilbert_Phase 30m TOD_Late  273088 -0.0027 -0.0235 0.486 -0.004
Hilbert_Phase 1h  TOD_Early 311331 -0.0023 -0.0226 0.487 -0.001
Hilbert_Phase 1h  TOD_Mid   312000 -0.0108 -0.0251 0.485 -0.011
Hilbert_Phase 1h  TOD_Late  273088 -0.0107 -0.0280 0.484 -0.012

